lcl*lcl.bmp*https://particuliers.lcl.fr/etudiants/*Partenaire Bancaire*
nancy*ville-nancy.gif*http://www1.nancy.fr/portail/*Partenaires Publics*
grandnancy*grnancy.png*http://www.grand-nancy.org/accueil/*Partenaires Publics*
lorraine*crlorraine.png*http://www.lorraine.eu/accueil.html*Partenaires Publics*
meurthe&moselle*cg54.jpg*http://www.meurthe-et-moselle.fr/*Partenaires Publics*
univlorraine*UNIV-Lorraine.png*http://www.univ-lorraine.fr/*Partenaires Publics*
letudiant*letudiant.png*http://www.letudiant.fr/*Partenaires Medias*
estjob*estjob.jpg*http://www.estjob.com/*Partenaires Medias*
batiactu*batiactuemploi2011_HD.jpg*http://www.batiactu.com/*Partenaires Medias*
moniteur*moniteur.jpg*http://www.lemoniteur.fr/*Partenaires Medias*
studyrama*studyrama.gif*http://www.studyrama.com//*Partenaires Medias*
iquesta*iquesta.jpg*http://www.iquesta.com///*Partenaires Medias*
virgin*virgin-radio.png*http://www.virginradio.fr/*Partenaires Medias*
lepoint*lepoint.jpg*http://www.lepoint.fr///*Partenaires Medias*
bde*bde.png*https://bde.mines-nancy.com/*Autres Partenaires*
minesentrepreneurs*mine.png*http://mines-nancy.univ-lorraine.fr/content/mines-nancy-entrepreneurs*Autres Partenaires*
minesservices*mines-services.png*http://www.mines-services.fr/*Autres Partenaires*
mgel*newmgel.png*http://www.mgel.fr/*Autres Partenaires*
rotary*logo_rotary.png*https://www.rotary.org/fr*Autres Partenaires*
malakoff*malakoff.png*http://relais-amical.malakoffmederic.com/index.html*Autres Partenaires*
geologia*ensg2.png*http://www.geologia.fr/accueil/*Autres Partenaires*
